aidsepidemicinsf03chinrich,"Ziegler, John L., 1938-, Wofsy, Constance B, Wofsy, Constance B, Perkins, Herbert A., 1918-, Perkins, Herbert A., 1918-, Ammann, Arthur J., 1936-, Dritz, Selma K., 1917-, Dritz, Selma K., 1917-, Silverman, Mervyn F, Silverman, Mervyn F, Abrams, Donald I, Abrams, Donald I, Conant, Marcus A, Conant, Marcus A, Moss, Andrew R., 1943-, Moss, Andrew R., 1943-, Ammann, Arthur J., 1936-, Volberding, Paul, Volberding, Paul, Francis, Donald P, Francis, Donald P, Sande, Merle A., 1939-, Sande, Merle A., 1939-, Ziegler, John L., 1938-, AIDS (Disease) -- California San Francisco, Physicians -- California San Francisco, Acquired Immunodeficiency Syndrome -- epidemiology San Francisco, Acquired Immunodeficiency Syndrome -- epidemiology San Francisco, Disease Outbreaks -- history San Francisco, Homosexuality, Male -- San Francisco, Homosexuality, Male -- San Francisco, Disease Outbreaks -- history San Francisco",,,,
aidsepidemicinsf04chinrich,"Ziegler, John L., 1938-, Wofsy, Constance B, Wofsy, Constance B, Perkins, Herbert A., 1918-, Perkins, Herbert A., 1918-, Ammann, Arthur J., 1936-, Dritz, Selma K., 1917-, Dritz, Selma K., 1917-, Silverman, Mervyn F, Silverman, Mervyn F, Abrams, Donald I, Abrams, Donald I, Conant, Marcus A, Conant, Marcus A, Moss, Andrew R., 1943-, Moss, Andrew R., 1943-, Ammann, Arthur J., 1936-, Volberding, Paul, Volberding, Paul, Francis, Donald P, Francis, Donald P, Sande, Merle A., 1939-, Sande, Merle A., 1939-, Ziegler, John L., 1938-, AIDS (Disease) -- California San Francisco, Physicians -- California San Francisco, Acquired Immunodeficiency Syndrome -- epidemiology San Francisco, Acquired Immunodeficiency Syndrome -- epidemiology San Francisco, Disease Outbreaks -- history San Francisco, Homosexuality, Male -- San Francisco, Homosexuality, Male -- San Francisco, Disease Outbreaks -- history San Francisco",,,,
aidsepidemicinsf05chinrich,"Ziegler, John L., 1938-, Wofsy, Constance B, Wofsy, Constance B, Perkins, Herbert A., 1918-, Perkins, Herbert A., 1918-, Ammann, Arthur J., 1936-, Dritz, Selma K., 1917-, Dritz, Selma K., 1917-, Silverman, Mervyn F, Silverman, Mervyn F, Abrams, Donald I, Abrams, Donald I, Conant, Marcus A, Conant, Marcus A, Moss, Andrew R., 1943-, Moss, Andrew R., 1943-, Ammann, Arthur J., 1936-, Volberding, Paul, Volberding, Paul, Francis, Donald P, Francis, Donald P, Sande, Merle A., 1939-, Sande, Merle A., 1939-, Ziegler, John L., 1938-, AIDS (Disease) -- California San Francisco, Physicians -- California San Francisco, Acquired Immunodeficiency Syndrome -- epidemiology San Francisco, Acquired Immunodeficiency Syndrome -- epidemiology San Francisco, Disease Outbreaks -- history San Francisco, Homosexuality, Male -- San Francisco, Homosexuality, Male -- San Francisco, Disease Outbreaks -- history San Francisco",,,,
aidsepidemicinsf06chinrich,"Ziegler, John L., 1938-, Wofsy, Constance B, Wofsy, Constance B, Perkins, Herbert A., 1918-, Perkins, Herbert A., 1918-, Ammann, Arthur J., 1936-, Dritz, Selma K., 1917-, Dritz, Selma K., 1917-, Silverman, Mervyn F, Silverman, Mervyn F, Abrams, Donald I, Abrams, Donald I, Conant, Marcus A, Conant, Marcus A, Moss, Andrew R., 1943-, Moss, Andrew R., 1943-, Ammann, Arthur J., 1936-, Volberding, Paul, Volberding, Paul, Francis, Donald P, Francis, Donald P, Sande, Merle A., 1939-, Sande, Merle A., 1939-, Ziegler, John L., 1938-, AIDS (Disease) -- California San Francisco, Physicians -- California San Francisco, Acquired Immunodeficiency Syndrome -- epidemiology San Francisco, Acquired Immunodeficiency Syndrome -- epidemiology San Francisco, Disease Outbreaks -- history San Francisco, Homosexuality, Male -- San Francisco, Homosexuality, Male -- San Francisco, Disease Outbreaks -- history San Francisco",,,,
aidsepidemicinsf07chinrich,"Ziegler, John L., 1938-, Wofsy, Constance B, Wofsy, Constance B, Perkins, Herbert A., 1918-, Perkins, Herbert A., 1918-, Ammann, Arthur J., 1936-, Dritz, Selma K., 1917-, Dritz, Selma K., 1917-, Silverman, Mervyn F, Silverman, Mervyn F, Abrams, Donald I, Abrams, Donald I, Conant, Marcus A, Conant, Marcus A, Moss, Andrew R., 1943-, Moss, Andrew R., 1943-, Ammann, Arthur J., 1936-, Volberding, Paul, Volberding, Paul, Francis, Donald P, Francis, Donald P, Sande, Merle A., 1939-, Sande, Merle A., 1939-, Ziegler, John L., 1938-, AIDS (Disease) -- California San Francisco, Physicians -- California San Francisco, Acquired Immunodeficiency Syndrome -- epidemiology San Francisco, Acquired Immunodeficiency Syndrome -- epidemiology San Francisco, Disease Outbreaks -- history San Francisco, Homosexuality, Male -- San Francisco, Homosexuality, Male -- San Francisco, Disease Outbreaks -- history San Francisco",,,,
aidsepidemicinsf08chinrich,"Ziegler, John L., 1938-, Wofsy, Constance B, Wofsy, Constance B, Perkins, Herbert A., 1918-, Perkins, Herbert A., 1918-, Ammann, Arthur J., 1936-, Dritz, Selma K., 1917-, Dritz, Selma K., 1917-, Silverman, Mervyn F, Silverman, Mervyn F, Abrams, Donald I, Abrams, Donald I, Conant, Marcus A, Conant, Marcus A, Moss, Andrew R., 1943-, Moss, Andrew R., 1943-, Ammann, Arthur J., 1936-, Volberding, Paul, Volberding, Paul, Francis, Donald P, Francis, Donald P, Sande, Merle A., 1939-, Sande, Merle A., 1939-, Ziegler, John L., 1938-, AIDS (Disease) -- California San Francisco, Physicians -- California San Francisco, Acquired Immunodeficiency Syndrome -- epidemiology San Francisco, Acquired Immunodeficiency Syndrome -- epidemiology San Francisco, Disease Outbreaks -- history San Francisco, Homosexuality, Male -- San Francisco, Homosexuality, Male -- San Francisco, Disease Outbreaks -- history San Francisco",,,,
aidsepidemicsf01bancrich,"San Francisco General Hospital (Calif.), AIDS Health Project, Visiting Nurses and Hospice of San Francisco, AIDS (Disease) -- California San Francisco, Nurses -- California San Francisco, AIDS (Disease) -- Patients California San Francisco, AIDS (Disease) -- Patients Care California San Francisco",,,,
aidsepidemicsf02bancrich,"San Francisco General Hospital (Calif.), AIDS Health Project, Visiting Nurses and Hospice of San Francisco, AIDS (Disease) -- California San Francisco, Nurses -- California San Francisco, AIDS (Disease) -- Patients California San Francisco, AIDS (Disease) -- Patients Care California San Francisco",,,,
aidsepidemicsf03bancrich,"San Francisco General Hospital (Calif.), AIDS Health Project, Visiting Nurses and Hospice of San Francisco, AIDS (Disease) -- California San Francisco, Nurses -- California San Francisco, AIDS (Disease) -- Patients California San Francisco, AIDS (Disease) -- Patients Care California San Francisco",,,,
aidsepidemicsf04bancrich,"San Francisco General Hospital (Calif.), AIDS Health Project, Visiting Nurses and Hospice of San Francisco, AIDS (Disease) -- California San Francisco, Nurses -- California San Francisco, AIDS (Disease) -- Patients California San Francisco, AIDS (Disease) -- Patients Care California San Francisco",,,,
aidtoblindincali00sundrich,"Perry, Newel Lewis, 1873-1961, California Council of the Blind, California. Division of the Blind, Blind -- California",,,,
aircleanersformo499hoff,  Motor vehicles,,,,
airconditioningf351gord,  Air conditioning,,,,
airconditioningf589wood,  Dwellings,,,,
aladyslifeneweng00bingrich,  Berkeley (Calif.) -- Social life and customs,,,,
albumazarcomedy00tomk,,,,,
alciphronorminut00berk,"Christianity, Free thought",,,,
alciphronorminut00berkiala,"Free thought, Apologetics",,,,
alfalfa521brau,  Alfalfa,,,,
alfalfa871917clar,  Alfalfa,,,,
alfalfa87clar,  Alfalfa,,,,
alfalfadiseasesi326weim,  Alfalfa,,,,
alfalfaproductio35mads,  Alfalfa,,,,
alfalfaproductio442stan,  Alfalfa,,,,
alfalfasilagefor124true,"Beef cattle, Alfalfa",,,,
alfalfavarieties38mads,"Alfalfa, Alfalfa",,,,
alfalfaweevil567essi,  Alfalfa weevil,,,,
aliceinwonderlan00delarich,,,,,
alienplantsgrowi637robb,"Plant introduction, Acclimatization (Plants)",,,,
alinementchartme49bruc,  Forests and forestry,,,,
alittleofmyself00stewrich,"University of California, Berkeley. Dept. of English, Authors, American -- California Berkeley",,,,
alkalisoilsorig2937hibb,  Alkali lands,,,,
alkalisoilsorigi292hibb,  Alkali lands,,,,
almondcultureinc103wood,  Almond,,,,
almondincaliforn284tayl,  Almond,,,,
almondincaliforn297tayl,  Almond,,,,
almondpollinatio00tuftiala,"Almond -- Pollen, Almond -- Flowering time",,,,
almondpollinatio306tuft,  Almond,,,,
almondpollinatio346tuft,"Almond, Almond",,,,
almonds453well,  Almond industry,,,,
alteringonionflo0746atki,"Onions, Onions",,,,
alternariarotofl408bart,"Alternaria, Lemon",,,,
aluminumreductio14burg,"Soils, Reduction (Chemistry), Nitrates",,,,
amateurcircuslif00balcrich,"Physical education for children, Tumbling",,,,
amateurrosecultu13butt,"Roses, Flower gardening",,,,
ameliatowleadmin00kathrich,"University of California (1868-1952), Miss Ransom and Miss Bridges' School for Girls (Piedmont, Calif.), United States. Marine Corps, Free Speech Movement (Berkeley, Calif.), Berkeley (Calif.) -- Social life and customs",,,,
amendedinsectici104wood,  Pesticides,,,,
americancityplan00scot,"American Institute of Planners, City planning",,,,
americandiariesa00matt,,,,,
americanextwarwo00mccarich,"Peace, Berkeley (Calif.) -- Political activity",,,,
americanfoulbroo307vans,"Bees, American foulbrood",,,,
americanlinks00piscrich,"Ophthalmology, Retinal detachment, Ophthalmology -- History",,,,
americanliteratu00stonrich,"American literature -- Study and teaching, Citizenship",,,,
americanscienceo00incric,  Political science--History--United States.,,,,
analysesofcalifo297elsn,  Farm income,,,,
analysesoffertil36burd,  Fertilizers,,,,
analysesoffigsfi102jaff,"Fig, Fig",,,,
analysesofinsect105gray,  Insecticides,,,,
analysesofpar1821825colb,"Lead arsenate, Pesticides, Paris green",,,,
analysisofcostso210denn,"Frozen strawberries, Strawberries, Strawberry industry",,,,
analysisofeastba534tinl,"Milk, Milk trade",,,,
analysisofeconom331bran,  Tomato industry,,,,
analysisofeconom337kinn,"Lemon trade, Lemon trade",,,,
analysisoffresno559tinl,  Milk trade,,,,
analysisofmisspe00grovrich,,,,,
analysisofoperat27stok,  Escondido Valley Poultry Association,,,,
analysisofoperat31tinl,  Poultry,,,,
analysisofprices42stov,"Peach, Canned foods industry",,,,
analysisofprinci10brau,"Apples, Fruit",,,,
analysisoftransi00comerich,  University of California, Berkeley. Dept. of Electrical Engineering and Computer Sciences,,,
analysisofwholes317cour,"Milk, Milk",,,,
analystordiscour00berkrich,  Mathematics -- Philosophy,,,,
analyticaldeterm00robirich,,,,,
analyticalpersp00gombrich,"Wine Institute (San Francisco, Calif.), California. Wine Advisory Board, Winegrowers of California, Wine and wine making -- California History",,,,
analyzingcitruso266hodg,  Citrus fruits,,,,
analyzingfurdama541penc,  Fur garments,,,,
ancientpoetry00boydrich,"California -- Poetry, Berkeley (Calif.) -- Poetry",,,,
ancientpoetryrev00boydrich,,,,,
anniversaryofber00berkrich,  Gilman, Daniel Coit, 1831-1908,,
announcementofca153woll,  Cow testing,,,,
announcementofco00hummrich,  Agricultural education -- California,,,,
announcementofco113humm,  Agricultural education,,,,
announcementoffa45berk,  Agricultural education,,,,
announcementoffa53berk,  Agricultural education,,,,
announcementoffa57berk,  Agricultural education,,,,
announcementoffa64berk,  Agricultural education,,,,
announcementoffa78berk,  Agricultural education,,,,
announcementofle00strarich,"War, Militarism",,,,
annualindexnumbe201leei_0,"Farm produce, Agriculture",,,,
annualindexnumbe25stov,"Farm produce, Agricultural prices, Price indexes",,,,
annualindexnumbe50stov,  Farms,,,,
annualindexnumbe569stov,"Agricultural prices, Price indexes",,,,
annualreporttown1966cent,"Kea, Kea",,,,
annualreporttown2005cent,"Mexican Americans, Mexican Americans, Mexican Americans, Mexican Americans, Mexican Americans, Mexican American youth",,,,
annualreporttown2006cent,"Foreign workers, Mexican, Mexicans",,,,
anorthosit00crow,"Geology, Faults (Geology)",,,,
anotheruseofvanw00morgrich,,,,,
anthrax04ward,  Anthrax,,,,
anthrolife00fostrich,"Foster, George McClelland, 1913-, Ishi, d. 1916, University of California, Berkeley. Dept of Anthropology, University of California, Berkeley. Dept. of Anthropology, University of California, Berkeley. Dept. of Anthropology, Kroeber Hall (Berkeley, Calif.), Anthropologists -- California, Anthropology -- Study and teaching",,,,
anthropologylife00colsrich,"University of California, Berkeley. Dept. of Anthropology, University of California, Berkeley, Women anthropologists, Africanists -- United States, Forced migration -- Research, Ethnology -- Research, Tonga (Zambesi people) -- Relocation",,,,
antstheircontr3441ecke,"Ants, Ants",,,,
antstheircontrol342ecke,"Ants, Ants",,,,
anzascaliforniae01bolt,"Anza, Juan Bautista de, 1735-1788, Exploradores",,,,
anzascaliforniae02bolt,"Anza, Juan Bautista de, 1735-1788, Exploradores",,,,
anzascaliforniae03bolt,"Anza, Juan Bautista de, 1735-1788, Exploradores",,,,
anzascaliforniae04bolt,"Anza, Juan Bautista de, 1735-1788, Exploradores",,,,
anzascaliforniae05bolt,"Anza, Juan Bautista de, 1735-1788, Exploradores",,,,
aphidsongraincan125wood,"Oat aphis, Cotton aphid, Cotton aphid, Oat aphis",,,,
applegrowingi4251937alle,  Apples,,,,
applegrowinginca178alle,"Fruit-culture, Apples",,,,
applegrowinginca425alle,  Apples,,,,
applepollination426over,  Apples,,,,
applequincepearr700dayl,"Stocks (Horticulture), Grafting",,,,
applicationofint278raoa,  Input-output analysis,,,,
applicationsofps00breirich,  Educational psychology,,,,
appraisalofcalif130hedg,"Agricultural productivity, Agriculture",,,,
apricotculturein412hess,  Apricot,,,,
apricotgrowingin51hend,  Apricot,,,,
apricotincalifor238howa,  Apricot,,,,
apricots423well,  Apricot,,,,
aquaticinse00usin,"Aquatic insects, Insects",,,,
arabworldsociety00bara,  Civilization, Arab -- 20th century,,,
arapahodialects00kroerich,"Arapaho language, Atsina language, Arapaho Indians",,,,
arbovirologistpro00reevrich,"University of California, Berkeley. School of Public Health, Epidemiology, Arbovirus infections, Encephalitis, Epidemiologists -- California Interviews",,,,
archaeologist00clarrich,"Leakey, L. S. B. (Louis Seymour Bazett), 1903-1972, Isaac, Glynn Llywelyn, 1937-1985, University of California, Berkeley. Dept. of Anthropology, Rhodes-Livingstone Museum, University of California, Berkeley. Dept of Anthropology, Archaeologists -- United States, Archaeology -- Africa, Prehistoric peoples -- Africa Research",,,,
architecturalhis00smit,"Mission San Carlos Borromeo (Carmel, Calif.), San Carlos Borromeo Basilica (Carmel, Calif.), Spanish mission buildings",,,,
architecturalins00millrich,,,,,
architectureofra00mino,"Individual architects, Individual Architect, Biography / Autobiography, Architecture, General, California, Public, Commercial, or Industrial Buildings, 20th century, Radcliffe family, Ratcliff Architects, San Francisco Bay Area",,,,
architectureplan01alex,"Alexander, Robert Evans, 1907-, Bowron, Fletcher, Holtzendorff, Howard L, Miralles, Adolfo, Neutra, Richard Joseph, 1892-1970, Sesnon, William T, Whitnall, Gordon, American Institute of Architects, Community Redevelopment Agency of the City of Los Angeles, Cornell University, Housing Authority of the City of Los Angeles, California, Los Angeles (Calif.). City Planning Commission, United States. Federal Housing Administration, Architects, Architecture, Modern, City planning",,,,
architectureplan02alex,"Alexander, Robert Evans, 1907-, Bowron, Fletcher, Holtzendorff, Howard L, Miralles, Adolfo, Neutra, Richard Joseph, 1892-1970, Sesnon, William T, Whitnall, Gordon, American Institute of Architects, Community Redevelopment Agency of the City of Los Angeles, Cornell University, Housing Authority of the City of Los Angeles, California, Los Angeles (Calif.). City Planning Commission, United States. Federal Housing Administration, Architects, Architecture, Modern, City planning",,,,
arealgeologyofcr00larsrich,"Geology -- Colorado, Creede Mining District (Colo.)",,,,
aresoilsmappedun312pend,  Soils,,,,
argentineantinca38wood,  Argentine ant,,,,
armillariarootro525orei,  Armillaria mellea,,,,
arrangementoflab43neub,  Labor camps,,,,
arsenicalinsecti151colb,"Arsenic, Paris green, Insecticides",,,,
artfarmercentral00farm,"Farmer, Art, Carter, Benny, Collette, Buddy, 1921-, Criss, Sonny, 1927-1977, Davis, Miles, Gillespie, Dizzy, 1917-1993, Gordon, Dexter, 1923-, McGhee, Howard, 1918-, Parker, Charlie, 1920-1955, American Federation of Musicians, Jazz musicians",,,,
arthurdouglasmis00dougiala,"Douglas, Arthur Jeffreys, 1871-1911, Missionaries -- Malawi",,,,
arthurdouglasmis00randrich,"Douglas, Arthur Jeffreys, 1871-1911, Missionaries -- Malawi Biography",,,,
artichokeplumemo653lang,"Artichokes, Pterophoridae",,,,
artificialincuba19doug,  Eggs,,,,
artificialincuba233doug,  Eggs,,,,
artificiallighti529wils,  Poultry,,,,
artistprofessor00westrich,"Textile crafts -- California, Textile design -- California, Fiberwork -- California",,,,
artistslifetrave01nutt,"Nutting, Myron C., 1890-1972, Artists, Art teachers, Art galleries, Commercial",,,,
artistslifetrave02nutt,"Nutting, Myron C., 1890-1972, Artists, Art teachers, Art galleries, Commercial",,,,
artistslifetrave03nutt,"Nutting, Myron C., 1890-1972, Artists, Art teachers, Art galleries, Commercial",,,,
artloversguideto00chenrich,,,,,
artofbookselling00hawkrich,"Sather Gate Book Shop, Booksellers and bookselling -- California Berkeley, Women authors, American -- California, Children's literature -- United States",,,,
askmayororalhist00yort,"Yorty, Sam, 1909-, Mayors, Political campaigns",,,,
asparagus487well,"Asparagus, Asparagus",,,,
asparagusasparag165smit,"Asparagus, Asparagus-rust",,,,
asparagusindustr446jone,  Asparagus,,,,
asparagusprocess218hoos,"Asparagus, Asparagus, Canned asparagus, Canned asparagus",,,,
asparagusproduct91hann,  Asparagus,,,,
asparagusproduct92hann,  Asparagus,,,,
athletecoachadmin00evanrich,"University of California, Berkeley, University of California (1868-1952). Class of 1912, Big \C\ Society (Berkeley, Calif.)",,,,
athleteofficergo01waltrich,"African American politicians, Athletes -- California, Virgin Islands of the United States -- Governors Biography, California -- Officials and employees Biography",,,,
athleteofficergo02waltrich,"African American politicians, Athletes -- California, Virgin Islands of the United States -- Governors Biography, California -- Officials and employees Biography",,,,
atjazzbandballsi00hent,,,,,
atlasofclimatech00dowk_0,"Climatic changes, Climatic changes, Climatic changes",,,,
attitudeoforgani00kercrich,,,,,
attitudesactivit00jenkrich,"California Council of the Blind, Oakland Orientation Center for the Blind, National Federation of the Blind, Blind -- California",,,,
audienciainspani00cunnrich,"Spain -- Colonies Administration, Spain -- Colonies Asia, Philippines -- History",,,,
audiencispanish00cunnrich,"Spain -- Colonies Administration, Spain -- Colonies Asia, Philippines -- History",,,,
augustvollmer01vollrich,"Vollmer, August, 1876-1955, Warren, Earl, 1891-1974, Berkeley (Calif.). Police Dept, California. Bureau of Criminal Identification and Investigation, Prohibition -- California",,,,
augustvollmer02vollrich,"Vollmer, August, 1876-1955, Wilson, O. W. (Orlando Winfield), 1900-1972, Keeler, Leonarde, Berkeley (Calif.). Police Dept, University of California, Berkeley. School of Criminology, Police -- United States, Police -- Study and teaching United States",,,,
australiansal1251255shin,"Salt-bush, Salt-bush",,,,
autobiographyofm00twai_0,"Twain, Mark, -- 1835-1910, Authors, American -- 19th century -- Biography",,,,
autobiographyofs00morlrich,  Contreras, Alonso de, b. 1582,,
autobiographyofw00blowrich,  Winnebago Indians -- Social life and customs,,,,
autobiowinne00blowrich,  Winnebago Indians -- Social life and customs,,,,
autoradiographyo35craf,"Plants, Motion of fluids in, Autoradiography, Photography of plants",,,,
availabilitypric0782cole,"Produce trade, Fruit trade, Fruit, Vegetables",,,,
avocadocultur3651928berk,  Avocado,,,,
avocadocultur3653655berk,  Avocado,,,,
avocadodiseases534zent,  Avocado,,,,
avocadodiseasesi585horn,  Avocado,,,,
avocadoincali2542545cond,  Avocado,,,,
avocadopests428ebel,  Avocado,,,,
avocadopropagati463john,  Avocado,,,,
avocadorootrot51167zent,"Avocado, Phytophthora cinnamomi",,,,
avocadorootrot511zent,"Phytophthora cinnamomi, Avocado",,,,
avocadosituation372sull,"Avocado, Avocado industry",,,,
aworkingfamily00bailrich,"Filice and Perrelli Canning Company, Kaiser Shipyards (Richmond, Calif.), Shipyards -- California Richmond, World War, 1939-1945 -- War work California Richmond, Migration, Internal -- California History 20th century, Asbestosis, Industries -- California Richmond History, Richmond (Calif.) -- History",,,,
babcockpeach328weld,  Peach,,,,
bacillarywhitedi162beac,"Avian coccidiosis, Pullorum disease",,,,
backstory200patr,"Motion picture industry, Screenwriters, Los Angeles, Screenwriting, Current Affairs, Plays / Drama, Politics/International Relations, Motion picture authorship, General, Plays & playwrights, International, California, History, Interviews",,,,
bacterialblighto665kend,"Flowers, Bacterial diseases of plants, Seeds",,,,
bacterialdecompo368crue,"Olive, Olive",,,,
bacteriosisbligh564rudo,  Walnut, English,,,
badmouthfugitive00adam,"Vocabulary, Ugliness, Invective, Truthfulness and falsehood",,,,
bakkecasepolitic00dreyrich,"Bakke, Allan Paul, University of California, Berkeley, Discrimination in medical education, Medical colleges, Processen (rechtspraak), Discriminatie",,,,
baldwinmwoodsonu00woodrich,"University of California (System). University Extension, University of California (1868-1952). Extension Division",,,,
balladsofhellas00millrich,,,,,
bamboogrove00orea,  Sijo -- Translations into English,,,,
bancroft_library,,,,,
bancroftlibraryr00thwarich,"Bancroft Library, California -- Imprints",,,,
bancroftlibraryucberkeley,  californialightandsound,,,,
bandelierscontri00waterich,"Bandelier, Adolph Francis Alphonse, 1840-1914, Indians of Mexico",,,,
bangsdiseaseinfe44haye,"Brucellosis in cattle, Cattle",,,,
banksprisons00hallrich,"Reagan, Ronald, Brian, Earl W., 1942-, Carleson, Robert, Luce, Gordon Coppard, 1925-, McMurray, Thomas, California. Business and Transportation Agency, California. Human Relations Agency, California. State Banking Dept, Republican Party (Calif.), Minorities -- Employment California, Public welfare administration -- Law and legislation California, Economic development projects -- California, Cabinet officers -- California, California -- Politics and government 1951-, California -- Governors Staff",,,,
barbanforcontrol0828foyc,  Wild oat,,,,
barkdiseasesofci395fawc,  Citrus,,,,
barley512brau,  Barley,,,,
barleyasfeedforh343hugh,"Barley as feed, Swine",,,,
barleyproduction28scha,  Barley,,,,
barleystatistics36schn,  Barley,,,,
barnmowhaydrying149dobi,"Hay, Hay",,,,
barnmowhaydrying454dobi,"Hay, Hay",,,,
bartlettpearorch78shul,  Pear,,,,
baseballaseducat00cozerich,,,,,
basicproblemsofl0840okey,  Lipids,,,,
basisofgrapestan293biol,  Grapes,,,,
basketdesignsofi00kroerich,"Indian baskets -- North America, Indians of North America -- California",,,,
beancultureincal294hend,  Beans,,,,
beangrowingconte93grif,"Agricultural education, Beans, Agriculture",,,,
beans444well,"Beans, Beans",,,,
beanthrips609bail,"Bean thrips, Bean thrips",,,,
beatriceotherpoe00noel,,,,,
beatscenepoet00gerdrich,"Stern, Gerd, 1928-, Callahan, Michael, Brockman, John, Ginsberg, Allen, 1926-, Majdrakoff, Ivan, Poets, American -- 20th century, Bohemianism -- California San Francisco, Artists -- California San Francisco, Art, Modern -- 20th century California San Francisco",,,,
beaulieuvineyards00knowrich,"Beaulieu Vineyard (Firm), California. Wine Advisory Board, Wine and wine making -- California Napa Valley History, Wine industry -- California History, Vintners -- California, Trumpet players",,,,
beautifulladycra01crav,"Courts and courtiers, Great Britain -- Court and courtiers, genealogy",,,,
beautifulladycra02crav,"Courts and courtiers, Great Britain -- Court and courtiers, genealogy",,,,
beefcattlefeedin0826loga,  Beef industry,,,,
beefcattlefeedin421howe,  Beef cattle,,,,
beefcattleinvest0765wagn,  Beef cattle,,,,
beefhandlingfe41458alba,,,,,
beefhandlingfe41467alba,"Cattle, Cattle",,,,
beefhandlingfeed414alba,"Cattle, Cattle",,,,
beefproductionin115guil,  Beef cattle,,,,
beekeepingforbeg36vans,  Bees,,,,
beekeepingforfru185cole,  Bee culture,,,,
beekeepingincali100ecke,  Bees,,,,
beginningofspani00hughrich,"El Paso (Tex.) -- History, Chihuahua (Mexico : State) -- History, New Mexico -- History",,,,
beginningspanish01hughrich,"El Paso (Tex.) -- History, Chihuahua (Mexico : State) -- History, New Mexico -- History",,,,
behaviorofbeefco0799wagn,"Grazing, Beef cattle, Beef cattle",,,,
behaviorpsycholo00tolm,,,,,
behindbakkeaffir00schw,"Bakke, Allan Paul, University of California, Berkeley, Discrimination in medical education, Medical colleges, Affirmative action programs in education",,,,
behindmudwalls1900wise,"Villages, Villages, Platteland, Dorpen, India Uttar Pradesh Karimpur Social change, 1930-1970 Personal observations",,,,
belarminoapoloni00ramo,  Reference, Information and Interdisciplinary Subjects,,,
belletowerbells00murdrich,"Murdock, Charles A. (Charles Albert), 1841-1928, University of California, Berkeley. School of Education, Sather Tower (Berkeley, Calif.), Printers -- California, Women -- California",,,,
benchgraftingres127biol,"Grafting, Viticulture",,,,
benjaminfranklin00midd,"Franklin, Benjamin, 1706-1790, Franklin, Benjamin, 1706-1790, Franklin, Benjamin, 1706-1790, Franklin, Benjamin, 1706-1790, Franklin, Benjamin, Statesmen, Politieke conflicten, Hommes d'\u00c9tat, Freundeskreis, Gegner, Politics, United States",,,,
berkeley00frasiala,  Berkeley, George, 1685-1753,,
berkeleyboysserv00kayhrich,"Menuhin, Yehudi, 1916-1999, Physicians -- California, Urologists -- California Interviews, Jewish physicians -- California Interviews, Medical care -- California San Francisco Bay Area, Insurance, Health -- California, Judaism -- 20th century, Medical care -- American Samoa",,,,
berkeleychancellor00heynrich,"University of California, Berkeley, College presidents -- Interviews",,,,
berkeleycultureu00richrich,"Muir, John, 1838-1914, Keith, William, 1838-1911, Hearst, Phoebe Apperson, 1842-1919, University of California, Berkeley. Dept. of Latin, University of California (System). University Extension, Berkeley (Calif.) -- Social life and customs",,,,
berkeleyfraseral00frasiala,  Berkeley, George, 1685-1753,,
berkeleyheroineo00boydrich,,,,,
berkeleyinterhouse00blairich,"Blaisdell, James Arnold, 1867-1957, Pomona College (Claremont, Calif.). President, University of California, Berkeley. International House. Director",,,,
berkeleyoaks00underich,"University of California, Berkeley, Short stories, American, College prose -- California Berkeley",,,,
berkeleyoutreach00sygarich,"Berkeley Outreach Recreation Program, University of California, Berkeley. Physically Disabled Students Program, Mobility International USA (Organization), Sports for people with disabilities, Spinal cord -- Wounds and injuries Patients, Women with disabilities, Discrimination against people with disabilities",,,,
berkeleypercival00berk,,,,,
berkeleyspiritua00fras,  Berkeley, George, 1685-1753,,
berkeleyyearshea00carlrich,  Berkeley, Calif -- Description and travel,,,
berkeleyyearshea00stanrich,  Berkeley (Calif.) -- Description and travel,,,,
berlinbankercali00gansrich,"Numismatics, Ancient, Coins -- Collectors and collecting, Seals (Numismatics)",,,,
berrysierraclub00philrich,"Sierra Club, Sierra Club. Legal Defense Fund, Environmental policy -- United States, Environmentalists -- California",,,,
berrythinningofg492wink,  Grapes,,,,
berseemoregyptia389kenn,  Berseem,,,,
beyondchutzpahon00fink,"Dershowitz, Alan M, Dershowitz, Alan M, Dershowitz, Alan M, Arab-Israeli conflict, Palestinian Arabs, Zionism, Human rights, Arabisch-Isra\u00eblisch conflict, Zionisme, Antisemitisme, Conflit isra\u00e9lo-arabe, Palestiniens, Crimes contre les, Sionisme, Antisionisme, Droits de l'homme (Droit international), Menschenrechtsverletzung, Zionismus, Pal\u00e4stinafrage, Nahostkonflikt",,,,
biblicalprosepra00gree,"Bible, Bible, Bible, Bible, Prayer, Pri\u00e8re, Oude Testament, Gebeden, Literaire structuur, Bible Special subjects: Prayer",,,,
bibliographyofbe00univrich,"German philology -- Bibliography, German literature -- History and criticism Bibliography",,,,
bibliographyofge00meadrich,  Berkeley, George, 1685-1753,,
bigdoctoringinam00fitz,"General practice, Public health & preventive medicine, Primary Health Care, Medical, Medical / Nursing, Health/Fitness, USA, Primary care (Medicine), Health Care Delivery, Medical / General, Family Practice, Personal Narratives, United States, trends, Family medicine",,,,
binaryfissioninc00rhodrich,"Collodictyon triciliatum, Cell division",,,,
